date,close,volume,open,high,low
2019/03/29,189.9500,23524830.0000,189.8300,190.0800,188.5400
2019/03/28,188.7200,20710390.0000,188.9500,189.5590,187.5300
2019/03/27,188.4700,29771210.0000,188.7500,189.7600,186.5500
2019/03/26,186.7900,49696100.0000,191.6640,192.8800,184.5800
2019/03/25,188.7400,43751810.0000,191.5100,191.9800,186.6000
2019/03/22,191.0500,42287640.0000,195.3400,197.6900,190.7800
2019/03/21,195.0900,50943120.0000,190.0200,196.3300,189.8100
2019/03/20,188.1600,31003380.0000,186.2300,189.4900,184.7300
2019/03/19,186.5300,31440300.0000,188.3500,188.9900,185.9200
2019/03/18,188.0200,26148590.0000,185.8000,188.3900,185.7900
2019/03/15,186.1200,39017490.0000,184.8500,187.3300,183.7400
2019/03/14,183.7300,23527660.0000,183.9000,184.1000,182.5600
2019/03/13,181.7100,30929740.0000,182.2500,183.3000,180.9200
2019/03/12,180.9100,32416800.0000,180.0000,182.6700,179.3700
2019/03/11,178.9000,31123000.0000,175.4900,179.1200,175.3500
2019/03/08,172.9100,23985960.0000,170.3200,173.0700,169.5000
2019/03/07,172.5000,24755470.0000,173.8700,174.4400,172.0200
2019/03/06,174.5200,20755140.0000,174.6700,175.4900,173.9400
2019/03/05,175.5300,19238480.0000,175.9400,176.0000,174.5400
2019/03/04,175.8500,27413060.0000,175.6900,177.7500,173.9700
2019/03/01,174.9700,25737560.0000,174.2800,175.1500,172.8900
